field_1,Endhaltestelle,Langname,Xkoordinat,Ykoordinat,lon,lat,elevation
1433,LUPO02,Lützowstr./Potsdamer Str.,22372500,19613800,22372.5,19613.8,0
1434,UKFS05,U Kurfürstenstr.,22168300,19231700,22168.3,19231.7,0
1435,UNDP05,U Nollendorfplatz,21519400,19243200,21519.4,19243.2,0
1436,USTR02N,U Schlesisches Tor,27503200,19346500,27503.2,19346.5,0
1437,UMBP01,U Mendelssohn-Bartholdy-Park,22948200,19613100,22948.2,19613.1,0
1438,POBR02,Potsdamer Brücke,22506200,19841400,22506.2,19841.4,0
1439,ZOOH01,Hertzallee,20066000,20332600,20066,20332.6,0
1440,UGR04N,U Görlitzer Bahnhof,26413100,19141100,26413.1,19141.1,0
1441,UKBT04N,U Kottbusser Tor,25806300,19106400,25806.3,19106.4,0
1442,UPR05N,U Prinzenstr.,25087000,19060600,25087,19060.6,0
1443,MHBR01N,Mehringbrücke,23973800,19014200,23973.8,19014.2,0
1444,MHBR02N,Mehringbrücke,23990900,18952300,23990.9,18952.3,0
1445,UHAL01,U Hallesches Tor,24190700,18944300,24190.7,18944.3,0
1446,UMB02N,U Möckernbrücke,23473400,19149700,23473.4,19149.7,0
1447,UMB03N,U Möckernbrücke,23521800,19084800,23521.8,19084.8,0
1448,UPR06N,U Prinzenstr.,25110100,19042900,25110.1,19042.9,0
1449,UKBT05N,U Kottbusser Tor,25817600,19090600,25817.6,19090.6,0
1450,ZOO07,S+U Zoologischer Garten,20166500,20023200,20166.5,20023.2,0
1451,ZOOH05,Hertzallee,20083900,20279000,20083.9,20279,0
1452,UWIT02,U Wittenbergplatz,20810000,19485300,20810,19485.3,0
1453,LAUP01N,Lausitzer Platz,26905200,19159700,26905.2,19159.7,0
1454,LAUP02N,Lausitzer Platz,26920400,19182300,26920.4,19182.3,0
1455,UBUE04,U Bülowstr.,22070200,19029100,22070.2,19029.1,0
1456,UBUE05N,U Bülowstr.,22128800,19040500,22128.8,19040.5,0
1457,ANDU05,An der Urania,21138200,19352800,21138.2,19352.8,0
1458,UMBP04,U Mendelssohn-Bartholdy-Park,22952100,19528500,22952.1,19528.5,0
1459,UGR05N,U Görlitzer Bahnhof,26600700,19135100,26600.7,19135.1,0
